category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,assignment_group,priority,reassignment_count,predicted_by_model
Hardware,Resolved,2023-09-23 18:17:17,2023-09-15 5:28:00,Charlie Whitherspoon,INC000000819,system,Australia,Charlie Whitherspoon,Don Goodliffe,2023-09-23 18:17:17,Printer546 in Australia experiencing issues,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-10-18 13:41:26,2023-10-10 9:43:00,Luke Wilson,INC000000863,system,India,Fred Luddy,Bud Richman,2023-10-18 13:41:26,Monitor123 is not displaying correctly,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-10-14 7:51:41,2023-10-11 11:15:00,Beth Anglin,INC000000864,admin,UK,Beth Anglin,Bud Richman,2023-10-14 7:51:41,Keyboard malfunction for desktop system D255X,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-10-16 8:25:45,2023-10-11 14:14:00,Luke Wilson,INC000000865,employee,Australia,Charlie Whitherspoon,Don Goodliffe,2023-10-16 8:25:45,The printer Printer546 in Australia has a paper jam,Hardware,2 - High,1,FALSE
Inquiry / Help,Resolved,2023-10-12 19:50:00,2023-10-11 19:50:00,Charlie Whitherspoon,INC000000866,admin,Canada,Luke Wilson,Don Goodliffe,2023-10-12 19:50:00,Unresolved inquiry regarding software assistance,Service Desk,3 - Moderate,1,FALSE
Software,Closed,2023-09-20 20:58:47,2023-09-16 9:18:00,Fred Luddy,INC000000820,system,Canada,Fred Luddy,David Loo,2023-09-20 20:58:47,Performance issues with Software123,Software,3 - Moderate,0,TRUE
Hardware,Closed,2023-09-22 13:11:16,2023-09-16 9:20:00,Fred Luddy,INC000000821,admin,Australia,Howard Johnson,ITIL User,2023-09-22 13:11:16,Printer546 is not working properly,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-09-28 10:20:41,2023-09-21 14:49:00,Howard Johnson,INC000000828,employee,UK,Luke Wilson,Don Goodliffe,2023-09-28 10:20:41,Issue with loading up laptop model L-914,Hardware,2 - High,0,FALSE
Hardware,Closed,2023-10-27 12:35:42,2023-10-13 9:01:00,Luke Wilson,INC000000870,system,Australia,Luke Wilson,ITIL User,2023-10-27 12:35:42,Printer error on Printer546 in Australia,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-10-18 21:50:20,2023-10-14 19:37:00,Fred Luddy,INC000000871,admin,Australia,Fred Luddy,Bud Richman,2023-10-18 21:50:20,Printer error on Printer546,Hardware,2 - High,1,FALSE
Software,Resolved,2023-10-28 17:01:27,2023-10-15 0:02:00,Charlie Whitherspoon,INC000000872,admin,Canada,Howard Johnson,Bud Richman,2023-10-28 17:01:27,Application XYZ failed to update,Software,2 - High,1,FALSE
Hardware,Resolved,2023-10-21 5:30:43,2023-10-15 0:53:00,Howard Johnson,INC000000873,admin,Australia,Beth Anglin,Bud Richman,2023-10-21 5:30:43,Printer549 is not working in Australia,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-09-26 20:40:00,2023-09-25 19:21:00,Luke Wilson,INC000000834,employee,Australia,Charlie Whitherspoon,David Loo,2023-10-02 19:11:48,Printer988 is not working properly,Hardware,1 - Critical,0,FALSE
Hardware,Resolved,2023-09-26 20:40:00,2023-09-25 20:40:00,Howard Johnson,INC000000835,employee,Australia,Luke Wilson,ITIL User,2023-09-26 20:40:00,Printer001 is not working,Hardware,2 - High,0,FALSE
Hardware,Closed,2023-09-28 19:04:36,2023-09-25 20:56:00,Luke Wilson,INC000000836,admin,Australia,Howard Johnson,Don Goodliffe,2023-09-28 19:04:36,Printer546 is not printing in Australia,Hardware,1 - Critical,0,FALSE
Database,Resolved,2023-10-01 22:54:51,2023-09-26 0:01:00,Luke Wilson,INC000000837,admin,India,Howard Johnson,David Loo,2023-10-01 22:54:51,Database Server Instance Performance Issue,Database,2 - High,0,FALSE
Hardware,Closed,2023-09-27 6:11:00,2023-09-26 6:11:00,Charlie Whitherspoon,INC000000838,system,United States,Charlie Whitherspoon,David Loo,2023-09-27 6:11:00,Desktop PC524 sudden shutdown,Hardware,2 - High,0,FALSE
Hardware,Resolved,2023-10-08 4:30:11,2023-09-30 7:14:00,Howard Johnson,INC000000844,employee,Australia,Beth Anglin,ITIL User,2023-10-08 4:30:11,Printer546 is not working properly,Hardware,1 - Critical,0,FALSE
Hardware,Closed,2023-10-16 11:37:53,2023-10-02 20:23:00,Luke Wilson,INC000000849,employee,United States,Luke Wilson,Don Goodliffe,2023-10-16 11:37:53,Hard drive failure on workstation,Hardware,2 - High,0,FALSE
Hardware,Closed,2023-10-08 5:16:54,2023-10-03 7:12:00,Fred Luddy,INC000000850,employee,Australia,Howard Johnson,Bud Richman,2023-10-08 5:16:54,Printer546 has a paper jam,Hardware,3 - Moderate,0,FALSE
Hardware,Closed,2023-10-07 15:02:09,2023-10-03 8:47:00,Beth Anglin,INC000000851,admin,Australia,Fred Luddy,Bud Richman,2023-10-07 15:02:09,Printer error with Printer7 (Australia),Hardware,2 - High,0,FALSE
Hardware,Resolved,2023-10-10 7:54:06,2023-10-03 11:29:00,Beth Anglin,INC000000852,admin,Australia,Charlie Whitherspoon,David Loo,2023-10-10 7:54:06,Printer436 is malfunctioning in Australia,Hardware,2 - High,0,FALSE
Hardware,Closed,2023-11-06 0:05:09,2023-10-24 20:18:00,Beth Anglin,INC000000884,employee,Australia,Howard Johnson,ITIL User,2023-11-06 0:05:09,Printer 546 is not functioning properly in Australia,Hardware,1 - Critical,1,FALSE
Network,Closed,2023-11-02 19:10:09,2023-10-25 3:39:00,Luke Wilson,INC000000885,admin,UK,Howard Johnson,ITIL User,2023-11-02 19:10:09,Cannot connect to UK server,Network,2 - High,1,FALSE
Hardware,Closed,2023-10-31 10:15:17,2023-10-25 5:06:00,Charlie Whitherspoon,INC000000886,admin,Australia,Beth Anglin,Don Goodliffe,2023-10-31 10:15:17,Printer473 is not responding,Hardware,1 - Critical,1,FALSE
Hardware,Closed,2023-11-09 9:27:41,2023-10-26 10:39:00,Howard Johnson,INC000000887,admin,Australia,Howard Johnson,David Loo,2023-11-09 9:27:41,Printer546 is not working,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-11-02 21:31:23,2023-10-26 19:39:00,Beth Anglin,INC000000888,admin,Australia,Howard Johnson,ITIL User,2023-11-02 21:31:23,Printer356 in Australia is not responding,Hardware,1 - Critical,1,FALSE
Hardware,Closed,2023-10-07 4:57:07,2023-10-03 14:29:00,Howard Johnson,INC000000853,system,Australia,Howard Johnson,David Loo,2023-10-07 4:57:07,Printer899 is not functioning properly,Hardware,1 - Critical,0,FALSE
Hardware,Resolved,2023-10-11 14:36:29,2023-10-04 21:50:00,Howard Johnson,INC000000854,admin,Australia,Fred Luddy,ITIL User,2023-10-11 14:36:29,Printer damage issue with Printer7,Hardware,2 - High,0,TRUE
Database,Closed,2023-10-08 21:29:56,2023-10-05 6:17:00,Beth Anglin,INC000000855,employee,UK,Luke Wilson,ITIL User,2023-10-08 21:29:56,Unable to establish connection to Database354,Database,2 - High,0,TRUE
Database,Resolved,2023-10-11 12:19:53,2023-10-05 12:36:00,Luke Wilson,INC000000856,employee,India,Charlie Whitherspoon,Bud Richman,2023-10-11 12:19:53,Unable to connect to Database Server DB204,Database,1 - Critical,0,TRUE
Hardware,Closed,2023-10-09 10:00:05,2023-10-06 14:02:00,Beth Anglin,INC000000857,admin,UK,Fred Luddy,David Loo,2023-10-09 10:00:05,Mouse malfunction in UK,Hardware,3 - Moderate,0,TRUE
Software,Resolved,2023-10-10 8:31:36,2023-10-07 19:05:00,Luke Wilson,INC000000858,employee,UK,Howard Johnson,Bud Richman,2023-10-10 8:31:36,Software crash on workstation UK567,Software,2 - High,0,TRUE
Software,Resolved,2023-10-09 9:10:00,2023-10-08 9:10:00,Fred Luddy,INC000000859,employee,Canada,Charlie Whitherspoon,ITIL User,2023-10-09 9:10:00,Cannot install the latest software update,Software,3 - Moderate,0,TRUE
Software,Resolved,2023-10-18 20:50:35,2023-10-08 10:24:00,Beth Anglin,INC000000860,admin,Canada,Fred Luddy,Bud Richman,2023-10-18 20:50:35,Unable to update the database in Accounting Software,Software,3 - Moderate,0,TRUE
Software,Resolved,2023-10-24 10:20:12,2023-10-09 3:23:00,Beth Anglin,INC000000861,system,Australia,Howard Johnson,Don Goodliffe,2023-10-24 10:20:12,An issue with Software56 in Australia,Software,3 - Moderate,0,TRUE
Software,Resolved,2023-10-16 8:15:55,2023-10-09 19:05:00,Charlie Whitherspoon,INC000000862,employee,India,Fred Luddy,David Loo,2023-10-16 8:15:55,Software update failed on station456,Software,2 - High,0,TRUE
Hardware,Resolved,2023-10-14 14:32:44,2023-10-12 1:24:00,Charlie Whitherspoon,INC000000867,admin,United States,Luke Wilson,Don Goodliffe,2023-10-14 14:32:44,Mouse not functioning,Hardware,2 - High,0,TRUE
Software,Closed,2023-10-14 10:07:07,2023-10-12 3:06:00,Charlie Whitherspoon,INC000000868,system,UK,Fred Luddy,David Loo,2023-10-14 10:07:07,Software update failed on workstation,Software,2 - High,0,TRUE
Hardware,Closed,2023-10-16 4:30:11,2023-10-12 20:39:00,Charlie Whitherspoon,INC000000869,admin,India,Luke Wilson,Bud Richman,2023-10-16 4:30:11,Critical server issue with hardware,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-10-20 4:35:01,2023-10-15 17:23:00,Luke Wilson,INC000000874,employee,United States,Howard Johnson,Bud Richman,2023-10-20 4:35:01,US Server failure,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-10-19 2:19:42,2023-10-16 14:21:00,Charlie Whitherspoon,INC000000875,admin,Australia,Beth Anglin,ITIL User,2023-10-19 2:19:42,Printer795 malfunctioning in Sydney office,Hardware,2 - High,0,TRUE
Database,Resolved,2023-11-15 23:12:54,2023-11-05 11:29:00,Charlie Whitherspoon,INC000000904,employee,Australia,Howard Johnson,Don Goodliffe,2023-11-15 23:12:54,Unexpected shutdown of Database439 in Australia,Database,2 - High,1,FALSE
Hardware,Closed,2023-11-08 6:15:26,2023-11-05 19:34:00,Charlie Whitherspoon,INC000000905,employee,Australia,Fred Luddy,Bud Richman,2023-11-08 6:15:26,Printer167 has a paper jam,Hardware,1 - Critical,2,FALSE
Hardware,Resolved,2023-11-12 8:41:55,2023-11-06 4:39:00,Charlie Whitherspoon,INC000000906,employee,Australia,Beth Anglin,ITIL User,2023-11-12 8:41:55,Printer546 is not working,Hardware,1 - Critical,3,FALSE
Inquiry / Help,Closed,2023-11-07 11:30:00,2023-11-06 11:30:00,Fred Luddy,INC000000907,admin,UK,Howard Johnson,ITIL User,2023-11-07 11:30:00,Need help with software installation,Service Desk,3 - Moderate,4,FALSE
Database,Closed,2023-11-11 22:19:34,2023-11-07 2:57:00,Beth Anglin,INC000000908,admin,Canada,Beth Anglin,Bud Richman,2023-11-11 22:19:34,Database error on DB546 server,Database,2 - High,5,FALSE
Software,Resolved,2023-11-13 13:05:36,2023-11-07 19:50:00,Beth Anglin,INC000000909,employee,UK,Charlie Whitherspoon,Bud Richman,2023-11-13 13:05:36,Software crash on startup,Software,2 - High,6,FALSE
Hardware,Closed,2023-11-18 17:10:46,2023-11-08 5:51:00,Howard Johnson,INC000000910,employee,UK,Charlie Whitherspoon,ITIL User,2023-11-18 17:10:46,Faulty keyboard on desktop model XJ56,Hardware,2 - High,7,FALSE
Hardware,Resolved,2023-10-21 17:05:49,2023-10-16 16:55:00,Beth Anglin,INC000000876,admin,Australia,Beth Anglin,Bud Richman,2023-10-21 17:05:49,Printer546 is not responding,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-10-18 0:52:00,2023-10-17 0:52:00,Charlie Whitherspoon,INC000000877,employee,Australia,Beth Anglin,ITIL User,2023-10-18 0:52:00,Printer failure - Printer546,Hardware,2 - High,0,TRUE
Inquiry / Help,Resolved,2023-10-25 19:50:20,2023-10-20 2:34:00,Luke Wilson,INC000000878,admin,India,Luke Wilson,Don Goodliffe,2023-10-25 19:50:20,Unable to access application from my end,Service Desk,2 - High,0,TRUE
Software,Closed,2023-10-29 6:16:50,2023-10-21 3:48:00,Beth Anglin,INC000000879,admin,India,Luke Wilson,David Loo,2023-10-29 6:16:50,Adobe Photoshop application is not responding,Software,2 - High,0,TRUE
Network,Closed,2023-10-30 3:46:44,2023-10-22 17:17:00,Charlie Whitherspoon,INC000000880,system,Canada,Beth Anglin,ITIL User,2023-10-30 3:46:44,Unable to connect to network,Network,2 - High,0,TRUE
Database,Closed,2023-11-23 8:35:34,2023-11-12 4:33:00,Charlie Whitherspoon,INC000000916,admin,United States,Howard Johnson,Bud Richman,2023-11-23 8:35:34,Database error in production environment,Database,2 - High,1,FALSE
Database,Resolved,2023-11-15 18:59:00,2023-11-14 18:59:00,Charlie Whitherspoon,INC000000917,system,India,Beth Anglin,David Loo,2023-11-15 18:59:00,Oracle Database error reported,Database,2 - High,2,FALSE
Hardware,Resolved,2023-11-27 6:06:20,2023-11-14 19:32:00,Fred Luddy,INC000000918,employee,UK,Beth Anglin,Bud Richman,2023-11-27 6:06:20,Replacing faulty components in the system,Hardware,2 - High,3,FALSE
Hardware,Closed,2023-11-23 15:56:17,2023-11-15 7:35:00,Charlie Whitherspoon,INC000000919,employee,Australia,Beth Anglin,ITIL User,2023-11-23 15:56:17,Printer546 is not functioning,Hardware,1 - Critical,1,FALSE
Hardware,Closed,2023-11-28 8:39:38,2023-11-15 19:05:00,Howard Johnson,INC000000920,employee,Australia,Howard Johnson,Bud Richman,2023-11-28 8:39:38,Printer546 is not working properly,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-11-21 1:30:21,2023-11-17 7:33:00,Charlie Whitherspoon,INC000000921,system,United States,Charlie Whitherspoon,Don Goodliffe,2023-11-21 1:30:21,Hard drive failure on desktop PRCS4526,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-11-23 5:26:07,2023-11-17 11:41:00,Luke Wilson,INC000000922,system,UK,Beth Anglin,Bud Richman,2023-11-23 5:26:07,Failure in Screen Resolution - System ID: 7843,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-11-19 13:31:45,2023-11-18 2:05:00,Howard Johnson,INC000000923,admin,Canada,Luke Wilson,ITIL User,2023-11-19 13:31:45,Failure reported at desktop232,Hardware,3 - Moderate,4,FALSE
Hardware,Closed,2023-11-25 18:11:25,2023-11-19 2:52:00,Luke Wilson,INC000000924,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-11-25 18:11:25,Printer123 issue in Australia,Hardware,2 - High,5,FALSE
Hardware,Resolved,2023-11-24 19:39:37,2023-11-19 11:06:00,Charlie Whitherspoon,INC000000925,admin,Australia,Beth Anglin,Don Goodliffe,2023-11-24 19:39:37,Printer463 is not working,Hardware,2 - High,6,FALSE
Software,Resolved,2023-11-27 12:48:59,2023-11-21 4:00:00,Luke Wilson,INC000000926,admin,UK,Charlie Whitherspoon,Bud Richman,2023-11-27 12:48:59,"Software malfunctioning, system crash",Software,3 - Moderate,7,FALSE
Database,Closed,2023-10-27 1:49:16,2023-10-23 1:08:00,Fred Luddy,INC000000881,system,UK,Charlie Whitherspoon,Bud Richman,2023-10-27 1:49:16,Unable to connect to Database from UK location,Database,1 - Critical,0,TRUE
Hardware,Closed,2023-11-29 19:40:37,2023-11-23 8:47:00,Luke Wilson,INC000000928,admin,Australia,Howard Johnson,ITIL User,2023-11-29 19:40:37,Issue with Printer546 in Australia,Hardware,2 - High,1,FALSE
Database,Closed,2023-12-01 23:08:08,2023-11-23 15:24:00,Beth Anglin,INC000000929,employee,Australia,Luke Wilson,David Loo,2023-12-01 23:08:08,Facing issues with MySQL database connectivity,Database,2 - High,2,FALSE
Hardware,Resolved,2023-12-09 22:53:40,2023-11-24 19:27:00,Luke Wilson,INC000000930,admin,Australia,Charlie Whitherspoon,Bud Richman,2023-12-09 22:53:40,Printer546 is malfunctioning in Australia,Hardware,2 - High,2,FALSE
Inquiry / Help,Resolved,2023-12-06 22:33:02,2023-11-27 20:26:00,Beth Anglin,INC000000931,employee,Australia,Fred Luddy,David Loo,2023-12-06 22:33:02,Printer 546 is malfunctioning,Hardware,3 - Moderate,2,FALSE
Hardware,Resolved,2023-12-13 3:48:20,2023-11-28 6:30:00,Fred Luddy,INC000000932,employee,Australia,Charlie Whitherspoon,Don Goodliffe,2023-12-13 3:48:20,Printer546 is malfunctioning in Australia,Hardware,2 - High,2,FALSE
Hardware,Closed,2023-12-06 6:18:20,2023-11-29 1:39:00,Luke Wilson,INC000000933,employee,Australia,Beth Anglin,Bud Richman,2023-12-06 6:18:20,Printer422 is continuously jamming,Hardware,2 - High,2,FALSE
Hardware,Closed,2023-12-05 17:32:49,2023-11-29 7:33:00,Beth Anglin,INC000000934,system,Australia,Charlie Whitherspoon,Bud Richman,2023-12-05 17:32:49,Printer546 malfunction in Australia,Hardware,1 - Critical,2,FALSE
Hardware,Closed,2023-12-01 4:31:00,2023-11-30 4:31:00,Charlie Whitherspoon,INC000000935,system,Australia,Fred Luddy,Bud Richman,2023-12-01 4:31:00,Printer546 is malfunctioning,Hardware,1 - Critical,2,FALSE
Software,Closed,2023-10-30 13:55:51,2023-10-23 14:06:00,Beth Anglin,INC000000882,admin,India,Luke Wilson,Don Goodliffe,2023-10-30 13:55:51,Error while installing new software,Software,3 - Moderate,0,TRUE
Network,Closed,2023-12-10 5:44:39,2023-12-02 9:51:00,Howard Johnson,INC000000937,system,United States,Charlie Whitherspoon,Bud Richman,2023-12-10 5:44:39,Can't connect to VPN,Network,2 - High,1,FALSE
Hardware,Closed,2023-12-09 17:15:02,2023-12-03 7:21:00,Howard Johnson,INC000000938,admin,Australia,Luke Wilson,David Loo,2023-12-09 17:15:02,Printer issue with Printer546,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-12-07 19:08:01,2023-12-04 13:22:00,Charlie Whitherspoon,INC000000939,admin,Australia,Beth Anglin,David Loo,2023-12-07 19:08:01,Printer547 has a paper jam,Hardware,2 - High,2,FALSE
Hardware,Closed,2023-12-06 21:57:39,2023-12-04 20:14:00,Luke Wilson,INC000000940,system,Australia,Charlie Whitherspoon,Don Goodliffe,2023-12-06 21:57:39,Printer678 not working,Hardware,2 - High,2,FALSE
Hardware,Closed,2023-12-15 17:24:42,2023-12-04 20:19:00,Fred Luddy,INC000000941,employee,Australia,Charlie Whitherspoon,David Loo,2023-12-15 17:24:42,Printer542 is not printing,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-12-09 12:22:45,2023-12-05 11:43:00,Charlie Whitherspoon,INC000000942,system,Australia,Beth Anglin,Don Goodliffe,2023-12-09 12:22:45,Printer546 is not working,Hardware,1 - Critical,2,FALSE
Database,Resolved,2023-10-31 0:43:50,2023-10-24 2:28:00,Beth Anglin,INC000000883,employee,United States,Beth Anglin,David Loo,2023-10-31 0:43:50,Error in SQL server update,Database,2 - High,0,TRUE
Inquiry / Help,Resolved,2023-12-07 16:11:16,2023-12-06 0:31:00,Fred Luddy,INC000000944,system,United States,Howard Johnson,ITIL User,2023-12-07 16:11:16,Need assistance with Service Desk application,Service Desk,3 - Moderate,1,FALSE
Hardware,Closed,2023-12-17 0:37:07,2023-12-07 0:44:00,Howard Johnson,INC000000945,employee,Australia,Howard Johnson,Bud Richman,2023-12-17 0:37:07,Printer546 is not printing in Australia,Hardware,1 - Critical,2,FALSE
Hardware,Resolved,2023-12-19 2:53:45,2023-12-08 0:32:00,Howard Johnson,INC000000946,system,Australia,Howard Johnson,ITIL User,2023-12-19 2:53:45,Printer error on Printer546,Hardware,2 - High,3,FALSE
Hardware,Closed,2023-12-15 13:12:57,2023-12-09 3:58:00,Luke Wilson,INC000000947,system,Australia,Charlie Whitherspoon,Bud Richman,2023-12-15 13:12:57,Printer546 is not working,Hardware,3 - Moderate,4,FALSE
Hardware,Closed,2023-12-11 12:52:00,2023-12-10 12:52:00,Howard Johnson,INC000000948,employee,United States,Howard Johnson,David Loo,2023-12-11 12:52:00,Server HW897 malfunction,Hardware,2 - High,5,FALSE
Hardware,Resolved,2023-12-14 20:37:19,2023-12-11 17:57:00,Charlie Whitherspoon,INC000000949,employee,Canada,Luke Wilson,Bud Richman,2023-12-14 20:37:19,Issue with workstation PC554 in Canada,Hardware,3 - Moderate,6,FALSE
Database,Closed,2023-12-12 19:10:00,2023-12-11 19:10:00,Beth Anglin,INC000000950,system,UK,Luke Wilson,Bud Richman,2023-12-12 19:10:00,UK Database server 307 outage,Database,1 - Critical,7,FALSE
Hardware,Closed,2023-11-09 1:36:23,2023-10-26 20:51:00,Beth Anglin,INC000000889,admin,Australia,Fred Luddy,Bud Richman,2023-11-09 1:36:23,Printer546 has a paper jam,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-11-04 10:27:01,2023-10-27 23:13:00,Charlie Whitherspoon,INC000000890,employee,Australia,Beth Anglin,David Loo,2023-11-04 10:27:01,Printer546 is not working properly,Hardware,2 - High,0,TRUE
Network,Resolved,2023-11-07 22:41:42,2023-10-28 4:24:00,Fred Luddy,INC000000891,system,United States,Howard Johnson,David Loo,2023-11-07 22:41:42,Network outage in server room,Network,2 - High,0,TRUE
Hardware,Resolved,2023-11-04 0:17:56,2023-10-29 3:27:00,Howard Johnson,INC000000892,employee,Australia,Howard Johnson,David Loo,2023-11-04 0:17:56,Printer546 is malfunctioning,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-11-14 14:50:37,2023-10-29 3:41:00,Howard Johnson,INC000000893,employee,Canada,Howard Johnson,Bud Richman,2023-11-14 14:50:37,PC453 failure,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-12-26 8:26:26,2023-12-18 11:13:00,Luke Wilson,INC000000956,system,Australia,Howard Johnson,ITIL User,2023-12-26 8:26:26,Printer546 is not working properly in Australia,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-12-28 23:19:23,2023-12-19 5:43:00,Howard Johnson,INC000000957,admin,Australia,Charlie Whitherspoon,David Loo,2023-12-28 23:19:23,Printer546 is not working,Hardware,1 - Critical,2,FALSE
Hardware,Resolved,2024-01-01 4:47:57,2023-12-19 7:32:00,Luke Wilson,INC000000958,admin,Australia,Luke Wilson,David Loo,2024-01-01 4:47:57,Issue with Printer487 in Australia,Hardware,2 - High,3,FALSE
Hardware,Resolved,2023-12-27 23:15:07,2023-12-23 18:43:00,Luke Wilson,INC000000959,admin,Canada,Beth Anglin,ITIL User,2023-12-27 23:15:07,Laptop not functioning properly in Canada,Hardware,3 - Moderate,4,FALSE
Database,Resolved,2024-01-03 16:58:26,2023-12-26 0:19:00,Luke Wilson,INC000000960,admin,India,Howard Johnson,ITIL User,2024-01-03 16:58:26,SQL server issue detected,Database,2 - High,5,FALSE
Network,Resolved,2024-01-09 12:37:13,2023-12-26 0:25:00,Beth Anglin,INC000000961,employee,UK,Howard Johnson,David Loo,2024-01-09 12:37:13,UK Network server is down,Network,1 - Critical,6,FALSE
Hardware,Closed,2024-01-04 10:16:12,2023-12-26 16:08:00,Fred Luddy,INC000000962,employee,Australia,Fred Luddy,David Loo,2024-01-04 10:16:12,Printer malfunction for Printer546 in Australia,Hardware,1 - Critical,1,FALSE
Hardware,Closed,2024-01-06 13:12:25,2023-12-28 6:15:00,Fred Luddy,INC000000963,system,United States,Luke Wilson,Don Goodliffe,2024-01-06 13:12:25,Server789 crashed unexpectedly,Hardware,1 - Critical,2,FALSE
Hardware,Resolved,2024-01-03 16:45:20,2023-12-28 22:22:00,Fred Luddy,INC000000964,employee,Australia,Charlie Whitherspoon,Don Goodliffe,2024-01-03 16:45:20,Printer957 is malfunctioning in Australia.,Hardware,2 - High,3,FALSE
Hardware,Resolved,2024-01-06 22:55:14,2023-12-31 0:23:00,Luke Wilson,INC000000965,employee,India,Fred Luddy,Don Goodliffe,2024-01-06 22:55:14,Desktop123 does not start,Hardware,2 - High,3,FALSE
Network,Resolved,2024-01-08 21:09:04,2024-01-02 5:33:00,Charlie Whitherspoon,INC000000966,admin,Canada,Luke Wilson,David Loo,2024-01-08 21:09:04,Network connectivity issue,Network,3 - Moderate,3,FALSE
Hardware,Resolved,2024-01-08 9:17:43,2024-01-02 23:29:00,Howard Johnson,INC000000967,employee,Australia,Fred Luddy,Bud Richman,2024-01-08 9:17:43,Issue with Printer546 in Australia,Hardware,3 - Moderate,3,FALSE
Hardware,Closed,2024-01-16 19:13:13,2024-01-04 15:03:00,Howard Johnson,INC000000968,admin,United States,Beth Anglin,Don Goodliffe,2024-01-16 19:13:13,Computer station 420 is not functioning,Hardware,2 - High,3,FALSE
Hardware,Resolved,2024-01-10 15:38:49,2024-01-05 3:27:00,Beth Anglin,INC000000969,admin,India,Fred Luddy,Don Goodliffe,2024-01-10 15:38:49,Failed motherboard on HP PC,Hardware,2 - High,4,FALSE
Hardware,Resolved,2024-01-07 3:03:47,2024-01-05 10:47:00,Beth Anglin,INC000000970,admin,Australia,Howard Johnson,Bud Richman,2024-01-07 3:03:47,Printer787 in Australia location is not working,Hardware,2 - High,4,FALSE
Network,Closed,2024-01-14 0:18:47,2024-01-05 16:43:00,Howard Johnson,INC000000971,employee,India,Luke Wilson,Bud Richman,2024-01-14 0:18:47,Slow network connection in Office 5,Network,3 - Moderate,7,FALSE
Inquiry / Help,Resolved,2023-11-11 5:32:19,2023-10-29 14:02:00,Beth Anglin,INC000000894,employee,Australia,Luke Wilson,ITIL User,2023-11-11 5:32:19,Printer546 is not working properly in Australia,Hardware,1 - Critical,0,TRUE
Inquiry / Help,Resolved,2023-11-01 13:29:21,2023-10-29 17:52:00,Beth Anglin,INC000000895,employee,UK,Beth Anglin,David Loo,2023-11-01 13:29:21,Need help with navigating the software,Service Desk,3 - Moderate,0,TRUE
Hardware,Resolved,2023-10-30 18:57:00,2023-10-29 18:57:00,Howard Johnson,INC000000896,employee,United States,Fred Luddy,ITIL User,2023-10-30 18:57:00,The Desktop PC7302 doesn't power on,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2024-01-14 19:07:03,2024-01-11 5:07:00,Luke Wilson,INC000000975,employee,Canada,Charlie Whitherspoon,David Loo,2024-01-14 19:07:03,Issue with motherboard on desktop PC,Hardware,2 - High,1,FALSE
Hardware,Closed,2024-01-21 14:31:46,2024-01-13 6:18:00,Charlie Whitherspoon,INC000000976,employee,Australia,Charlie Whitherspoon,Don Goodliffe,2024-01-21 14:31:46,Printer546 is malfunctioning,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2024-01-19 4:34:40,2024-01-15 2:05:00,Fred Luddy,INC000000977,system,Australia,Howard Johnson,Bud Richman,2024-01-19 4:34:40,Printer546 is malfunctioning in Australia,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2024-01-21 17:52:21,2024-01-15 14:42:00,Luke Wilson,INC000000978,admin,Australia,Beth Anglin,ITIL User,2024-01-21 17:52:21,Printer128 is not working properly in Australia,Hardware,3 - Moderate,1,FALSE
Software,Resolved,2024-01-23 7:05:32,2024-01-15 16:26:00,Beth Anglin,INC000000979,system,United States,Beth Anglin,Don Goodliffe,2024-01-23 7:05:32,Unable to install an update on Office365,Software,2 - High,1,FALSE
Database,Resolved,2024-01-26 14:08:14,2024-01-16 10:00:00,Howard Johnson,INC000000980,employee,Australia,Beth Anglin,Bud Richman,2024-01-26 14:08:14,Oracle Database 11g - Error Ora-02000,Database,2 - High,1,FALSE
Software,Closed,2024-01-19 9:54:00,2024-01-18 9:54:00,Howard Johnson,INC000000981,admin,United States,Fred Luddy,David Loo,2024-01-19 9:54:00,Software update required,Software,2 - High,2,FALSE
Database,Resolved,2024-01-24 20:11:02,2024-01-19 21:43:00,Howard Johnson,INC000000982,system,Australia,Beth Anglin,David Loo,2024-01-24 20:11:02,Issue with Database543,Database,3 - Moderate,3,FALSE
